epoch,train_loss,train_class_y_loss,train_acc_y,train_acc_d,val_loss,val_class_y_loss,val_acc_y,val_acc_d,cross_acc_y,cross_acc_d
1,1256547.100732044,158.25282218300836,0.7736611593202017,0.6445956228981503,1256547.100732044,158.25282218300836,0.75685125963474,0.6174821435160757,0.6133442540322581,0.12290421069707082
2,1170599.361066989,146.30949080156358,0.7887966910881575,0.6550559842661542,1170599.361066989,146.30949080156358,0.7688704278931531,0.6272272118861194,0.6097838177685351,0.1684112265943641
3,1143900.056616022,141.92612413943803,0.7860535652624309,0.661274161887461,1143900.056616022,141.92612413943803,0.767851658019323,0.6314273880992948,0.5730308358925377,0.1688027269127533
4,1129441.0068888122,139.1869101436889,0.7950297805819121,0.6473365905747057,1129441.0068888122,139.1869101436889,0.7769183530609185,0.6241032805766432,0.6061396280186521,0.17321335551982073
5,1117667.2792610498,136.92872683150992,0.7938946016244295,0.6679928837376892,1117667.2792610498,136.92872683150992,0.77319970954862,0.6369459307243023,0.6178077166054069,0.15260297648554755
6,1110053.9256008288,134.75738908883616,0.7997680252372088,0.6662322487539034,1110053.9256008288,134.75738908883616,0.782401983918178,0.6389229128555788,0.629893785466138,0.11866193919169447
7,1099454.15847721,132.28083681896905,0.8030531880554889,0.6732453703008647,1099454.15847721,132.28083681896905,0.7812057224355204,0.6432488304512405,0.6151228821073335,0.12064097739436733
8,1093950.7499412983,130.96937016144642,0.7944484765343502,0.6802832617703579,1093950.7499412983,130.96937016144642,0.7765953216015751,0.646458997004979,0.6025379762235817,0.14633808977567667
9,1089456.1635566298,129.95503279585864,0.7928074686974538,0.6807640073264473,1089456.1635566298,129.95503279585864,0.7760390350427345,0.650448662976449,0.6066931566978607,0.17638210254751657
10,1088093.8031940607,129.28384566164806,0.7948647872627913,0.6756452565757867,1088093.8031940607,129.28384566164806,0.7786655440301222,0.6432315289236868,0.5992962440150892,0.16056635870572777
11,1086066.3197790056,128.6116283231282,0.8049139442709585,0.6763807500600528,1086066.3197790056,128.6116283231282,0.7853718948593026,0.646801713435058,0.6050291701427513,0.15369869878568782
12,1083445.5812051105,127.99149533645883,0.8056968719973576,0.6828837864821042,1083445.5812051105,127.99149533645883,0.7864476676142571,0.652435532992011,0.5897558403258047,0.1287534471171672
13,1082910.4137258288,127.5040922900458,0.8111878959734566,0.6873912405416767,1082910.4137258288,127.5040922900458,0.7922737652075479,0.6579140791704826,0.5954271793034934,0.1593734067945866
14,1082117.6735393647,127.02584832122972,0.8010797032638722,0.6752166931900072,1082117.6735393647,127.02584832122972,0.7818950823020637,0.6457753074632624,0.5956244093175186,0.16322751552651094
15,1083167.1701243094,126.7534696952019,0.8203652095093682,0.6874435690907998,1083167.1701243094,126.7534696952019,0.7989716173593259,0.6577639812686245,0.6223357260381905,0.1231388464034112
16,1082904.1699343922,126.35694076243027,0.8031244801675474,0.6866873573744896,1082904.1699343922,126.35694076243027,0.7846414217328469,0.6547430419439512,0.6289785739690639,0.13205846673437474
17,1083636.96418163,126.13466966070523,0.8145562451207062,0.6935060296811194,1083636.96418163,126.13466966070523,0.7929767084302812,0.6614286636272878,0.628268967834631,0.14135932285873193
18,1084205.6240642266,125.87922864713721,0.8111604668358156,0.6748301442769638,1084205.6240642266,125.87922864713721,0.790770838575395,0.6447502498393242,0.6029655598108203,0.159941167269188
19,1085455.4212776243,125.64336639741508,0.8033289544799423,0.695285646994355,1085455.4212776243,125.64336639741508,0.7828975812037731,0.6644253508501002,0.5970207310659186,0.13915342605914785
20,1086396.5948480663,125.51334832755242,0.804570652173913,0.6853568996967332,1086396.5948480663,125.51334832755242,0.7840830150445476,0.6573689652852999,0.6121507983407489,0.16583517716947976
21,1088047.6930766574,125.28886096301,0.8172913613980303,0.6936403078459045,1088047.6930766574,125.28886096301,0.794814833431734,0.6605574629355971,0.5982793003699762,0.11076669326627009
22,1088362.8722479283,125.12120107155478,0.8196529508467452,0.6921494096054529,1088362.8722479283,125.12120107155478,0.795380967015834,0.6591903880249131,0.6231171208750463,0.1259900858542503
23,1090192.503301105,124.99809449970392,0.809609474462527,0.6858264472736008,1090192.503301105,124.99809449970392,0.7909941376922299,0.6557044775245576,0.6270694982649805,0.13961740777796583
24,1090920.1607838399,124.75008883818737,0.811949990992073,0.695441718712467,1090920.1607838399,124.75008883818737,0.7941304220472254,0.6588510084152887,0.6334556071258726,0.1552928173010269
