epoch,train_loss,train_class_y_loss,train_acc_y,train_acc_d,val_loss,val_class_y_loss,val_acc_y,val_acc_d,cross_acc_y,cross_acc_d
1,156816.58966340055,19.886617897610446,0.9772307478322033,0.9504333431345418,156816.58966340055,19.886617897610446,0.9417910524051317,0.8827633857455766,0.7495272669780113,0.1144078979373419
2,157604.51020262556,19.70960422822632,0.9833811142244362,0.9524813272565842,157604.51020262556,19.70960422822632,0.9467152008839675,0.8803156735364396,0.7424340216968282,0.19703924644872542
3,158597.24312293887,19.338162782045863,0.9815168306927725,0.9490642368317882,158597.24312293887,19.338162782045863,0.9414963668785913,0.8763710321905047,0.7566926931309593,0.17795953736135436
4,156578.7394287481,18.611787708201184,0.979465279219132,0.9557173115285273,156578.7394287481,18.611787708201184,0.9445984543010753,0.8792322708653354,0.7856804278556139,0.1516473596516832
5,158594.7682489853,18.921897343365085,0.9827783038720539,0.957680327821595,158594.7682489853,18.921897343365085,0.9450913191777607,0.8834292061358594,0.7429999452714536,0.17400491340727767
6,157666.5215507674,18.094773468784968,0.9829546895899636,0.9544053188851991,157666.5215507674,18.094773468784968,0.9463446216113386,0.8753296877666839,0.7541596127651294,0.1812939652656159
7,159806.06266251268,18.58480817191435,0.9813411296180988,0.9567112693718002,159806.06266251268,18.58480817191435,0.9470871135752689,0.8844018794980656,0.754698415304534,0.14725867751508076
8,159027.16030885337,17.918018984951868,0.9829540409805821,0.9609735698883816,159027.16030885337,17.918018984951868,0.9495578272565,0.8820089485727086,0.7642162264059156,0.1484922285464098
9,160158.07324169204,17.4770473887145,0.9850838579862552,0.9616563393639592,160158.07324169204,17.4770473887145,0.9467930947580645,0.8890161192538545,0.7634481416618019,0.16773375170266588
10,161274.74519993024,17.746448541522206,0.9861801880102394,0.9552469976592408,161274.74519993024,17.746448541522206,0.9509401935057177,0.8816092563257382,0.7676228351819421,0.19682528823701106
11,163649.19846762432,17.926096897328463,0.9833814385291269,0.9535851883561645,163649.19846762432,17.926096897328463,0.9436638944892473,0.8788308007268021,0.7571902060225725,0.13479002481027436
12,165375.73991628614,17.87245554164362,0.9864014719108897,0.9615786864074536,165375.73991628614,17.87245554164362,0.9479078883270752,0.8844023239709563,0.7550753733703055,0.16651297066549914
13,165273.64210346906,17.718312258892166,0.9815914928393524,0.9557609124925049,165273.64210346906,17.718312258892166,0.942690387740371,0.8840822479305342,0.7891976795096323,0.18386526439968867
14,164274.96078291477,17.21670585063313,0.9838141690881417,0.9670251674853558,164274.96078291477,17.21670585063313,0.9441913171331854,0.890265254754082,0.7437210850846468,0.20920832117143412
15,165917.13188102486,17.34804497123188,0.9849570188183202,0.956966569231124,165917.13188102486,17.34804497123188,0.9488573379807418,0.8792763847997382,0.750239680628527,0.1920742423136797
16,167744.02931570268,17.495013816050623,0.9774589862667774,0.9598395844864167,167744.02931570268,17.495013816050623,0.9376321195667633,0.8865442943903966,0.7534406012842966,0.21656438509437634
17,166140.12375935438,16.81316938586552,0.9829084581546055,0.9614379742055256,166140.12375935438,16.81316938586552,0.9445137822153952,0.8820412284163963,0.7434571110624635,0.20974265421288188
18,169619.1739044267,17.406802427944104,0.9842865008532817,0.9629174161708408,169619.1739044267,17.406802427944104,0.9495090463567447,0.8867711978011037,0.7482930470422261,0.1845441416131543
19,169883.2739448567,16.942627645397717,0.9843337412365666,0.9617831424980398,169883.2739448567,16.942627645397717,0.9470647788125107,0.8844960521917846,0.7669767038820783,0.1847248674352987
